No,Current distance,Vr Ori SSM,Speed,Mode SSM ori,Mode Collab,x,y,z,rx,ry,rz
231,1208.69,0,250,2,3,415.915,-387.596,62.843,-179.4038,-2.8389,10.0883
232,1208.69,0,250,2,3,415.916,-387.6,63.445,-179.4052,-2.8389,10.0896
233,1208.69,0,250,2,3,415.913,-387.595,64.277,-179.4035,-2.8381,10.0901
234,1208.69,0,250,2,3,415.916,-387.598,64.881,-179.4043,-2.8389,10.0886
235,1208.69,0,250,2,3,415.912,-387.595,65.518,-179.4037,-2.8379,10.0901
236,1208.69,0,250,2,3,415.914,-387.597,66.317,-179.4042,-2.8382,10.0904
237,1208.69,0,250,2,3,415.915,-387.597,66.962,-179.4038,-2.8385,10.0892
238,1208.69,0,250,2,3,415.916,-387.596,67.56,-179.4042,-2.839,10.0898
239,1208.69,0,250,2,3,415.913,-387.597,68.199,-179.4037,-2.838,10.0891
240,1208.69,0,250,2,3,415.917,-387.599,68.805,-179.4048,-2.8389,10.0897
241,1208.69,0,250,2,3,415.918,-387.6,69.641,-179.4047,-2.839,10.0902
242,1208.69,0,250,2,3,415.915,-387.598,70.423,-179.4046,-2.8387,10.0904
243,1208.69,0,250,2,3,415.914,-387.596,70.767,-179.4037,-2.8385,10.0889
244,1208.69,0,250,2,3,415.915,-387.596,70.803,-179.404,-2.8389,10.0891
245,1208.69,0,250,2,3,415.915,-387.596,70.803,-179.404,-2.8389,10.0891
246,1208.69,0,250,2,3,415.915,-387.596,70.803,-179.404,-2.8389,10.0891
247,1208.69,0,250,2,3,415.914,-387.596,71.004,-179.4042,-2.8387,10.0888
248,1208.69,0,250,2,3,415.915,-387.594,71.759,-179.4039,-2.8394,10.0882
249,1208.69,0,250,2,3,415.915,-387.597,72.359,-179.404,-2.8385,10.0894
250,1208.69,0,250,2,3,415.917,-387.6,73.001,-179.4044,-2.8391,10.0881
251,1208.69,0,250,2,3,415.913,-387.595,73.797,-179.4034,-2.8384,10.0883
252,1208.69,0,250,2,3,415.914,-387.594,74.44,-179.404,-2.839,10.0892
253,1208.69,0,250,2,3,415.915,-387.596,75.238,-179.4044,-2.8391,10.0894
254,1208.69,0,250,2,3,415.913,-387.594,76.077,-179.4035,-2.8385,10.0899
255,1208.69,0,250,2,3,415.916,-387.598,76.882,-179.4046,-2.839,10.0902
256,1208.69,0,250,2,3,415.916,-387.599,77.723,-179.4049,-2.8391,10.0885
257,1208.69,0,250,2,3,415.915,-387.598,78.558,-179.4047,-2.8388,10.089
258,1208.69,0,250,2,3,415.915,-387.594,79.358,-179.4035,-2.8391,10.0886
259,1208.69,0,250,2,3,415.913,-387.595,79.996,-179.4043,-2.8386,10.09
260,1208.69,0,250,2,3,415.913,-387.596,80.594,-179.4035,-2.8382,10.0884
261,1208.69,0,250,2,3,415.916,-387.598,81.24,-179.4044,-2.839,10.0893
262,1208.69,0,250,2,3,415.915,-387.597,82.078,-179.4044,-2.8388,10.0897
263,1208.69,0,250,2,3,415.913,-387.594,82.676,-179.4037,-2.8384,10.0902
264,1208.69,0,250,2,3,415.914,-387.598,83.52,-179.4044,-2.8387,10.0886
265,1208.69,0,250,2,3,415.912,-387.594,84.113,-179.4031,-2.8379,10.0891
266,1208.69,0,250,2,3,415.914,-387.597,84.719,-179.4044,-2.8387,10.0896
267,1208.69,0,250,2,3,415.916,-387.595,85.559,-179.4041,-2.8394,10.0895
268,1208.69,0,250,2,3,415.914,-387.597,86.2,-179.4039,-2.8383,10.0887
269,1208.69,0,250,2,3,415.917,-387.597,86.999,-179.4039,-2.8391,10.0883
270,1208.69,0,250,2,3,415.917,-387.599,87.84,-179.4043,-2.839,10.0887
271,1208.69,0,250,2,3,415.915,-387.599,88.639,-179.4048,-2.8388,10.0889
272,1208.69,0,250,2,3,415.913,-387.595,89.276,-179.4037,-2.8383,10.0896
273,1208.69,0,250,2,3,415.916,-387.597,90.078,-179.4039,-2.8391,10.0892
274,1208.69,0,250,2,3,415.916,-387.595,90.716,-179.404,-2.8392,10.09
275,1208.69,0,250,2,3,415.912,-387.593,91.516,-179.4035,-2.8384,10.0901
276,1208.69,0,250,2,3,415.912,-387.596,92.354,-179.4035,-2.838,10.0883
277,1208.69,0,250,2,3,415.916,-387.596,93.157,-179.404,-2.8389,10.0901
