,Sensor,Real
234,0.910403035,1
235,0.905697566,1
236,0.895806889,1
237,0.889416496,1
238,0.884312215,1
239,0.924276393,1
240,0.915937174,1
241,0.907515968,1
242,0.934415641,1
243,0.953578452,1
244,0.947426049,1
245,0.946204167,1
246,0.929780767,1
247,0.911683251,1
248,0.91161209,1
249,0.938316134,1
250,0.922048347,1
251,0.949334637,1
252,0.953160778,1
253,0.982816208,1
254,0.967913534,1
255,0.935625611,1
256,0.96853514,1
257,1.032376624,1
258,1.019439308,1
259,0.999624669,1
260,0.963744303,1
261,0.952767803,1
262,0.954930721,1
263,0.974243339,1
264,0.961813302,1
265,0.952031314,1
266,0.953652173,1
267,0.944398036,1
268,0.950461615,1
269,0.941207291,1
270,0.960923079,1
271,0.972271224,1
272,0.986216051,1
273,0.951050017,1
274,0.933061932,1
275,0.938388935,1
276,0.93654601,1
277,0.959070491,1
278,0.943715336,1
279,0.914961422,1
280,0.937224652,1
281,0.92482807,1
282,0.957146731,1
283,0.938073496,1
284,0.920947873,1
285,0.912774935,1
286,0.904164819,1
287,0.913891425,1
288,0.914699775,1
289,0.953332744,1
290,1.003221812,1
291,0.999395395,1
292,1.026932273,1
293,1.027140274,1
294,1.022882532,1
295,1.018095448,1
296,1.013170745,1
297,1.013634088,1
298,1.012604653,1
299,0.973544011,1
300,0.919012608,1
301,0.931492595,1
302,0.944446815,1
303,0.962332893,1
304,0.942278051,1
305,0.918081964,1
306,1.020629215,1
307,1.035172227,1
308,1.01175596,1
309,1.011627417,1
310,0.987957206,1
311,0.966199494,1
312,0.988437065,1
313,0.952424053,1
314,0.958774333,1
315,0.964339059,1
316,0.991598453,1
317,0.990459469,1
318,0.940429153,1
319,0.930455558,1
320,0.920206836,1
321,0.9296844,1
322,0.924516221,1
323,0.920947873,1
324,0.915960983,1
325,0.915818136,1
326,0.919657339,1
327,0.892467156,1
328,0.893003638,1
329,0.900823574,1
330,0.907752338,1
331,0.894871686,1
332,0.906878015,1
333,0.921043525,1
334,0.937539867,1
335,0.939554349,1
336,0.935552978,1
337,0.92838421,1
338,0.920135147,1
339,0.920947873,1
340,0.921617603,1
341,0.893703787,1
342,0.896064207,1
343,0.899837217,1
344,0.904259082,1
345,0.904424061,1
346,0.903316806,1
347,0.911469782,1
348,0.90737417,1
349,0.910023987,1
350,0.901740254,1
351,0.910047673,1
352,0.909810827,1
353,0.905532402,1
354,0.913796363,1
355,0.948771538,1
356,0.959366719,1
357,0.996062699,1
358,0.983042586,1
359,1.061198268,1
360,1.013119272,1
361,1.060985182,1
362,1.035747721,1
363,1.003988422,1
364,1.0044486,1
365,1.005676519,1
366,0.987528009,1
367,0.945935518,1
368,0.940939749,1
369,0.946082047,1
370,0.958922403,1
371,0.974218356,1
372,0.974493192,1
373,0.968634626,1
374,0.988942371,1
375,0.998758734,1
376,1.000261748,1
377,1.003094087,1
378,0.978773285,1
379,0.979024027,1
380,0.913439948,1
381,0.939311461,1
382,0.942497187,1
383,0.937758141,1
384,0.944373647,1
385,0.93002172,1
386,0.919084227,1
387,0.96647259,1
388,0.969082407,1
389,0.967565568,1
390,0.966596744,1
391,0.984603158,1
392,0.967814105,1
393,0.925235999,1
394,0.93654601,1
395,0.964934097,1
396,0.970800379,1
397,0.972171452,1
398,0.966323621,1
399,0.991066804,1
400,0.985737014,1
401,0.967814105,1
402,0.97889865,1
403,0.977370035,1
404,0.973294344,1
405,0.974593147,1
406,0.962530889,1
407,0.932458095,1
408,0.898499975,1
409,0.906382077,1
410,0.909645064,1
411,0.888719057,1
412,0.891278492,1
413,0.903269712,1
414,0.890533316,1
415,0.881491907,1
416,0.90080008,1
417,0.910521513,1
418,0.970177656,1
419,0.943203564,1
420,0.929323092,1
421,0.902375315,1
422,0.898195214,1
423,0.952694134,1
424,0.917366592,1
425,0.891697875,1
426,0.950706748,1
427,0.939092904,1
428,0.911019256,1
429,0.897375114,1
430,0.899109747,1
431,0.954979922,1
432,0.914557084,1
433,0.905154972,1
434,0.897234586,1
435,0.928143592,1
436,0.92090005,1
437,0.914604646,1
438,0.914818698,1
439,0.895409331,1
440,0.926100316,1
441,0.885725111,1
442,0.879369953,1
443,0.874771352,1
444,0.866042628,1
445,0.895783499,1
446,0.864450894,1
447,0.863133852,1
448,0.864132836,1
449,0.869073552,1
450,0.874725465,1
451,0.858717984,1
452,0.898570316,1
453,0.930937788,1
454,0.914747343,1
455,0.911588371,1
456,0.898148335,1
457,0.904329784,1
458,0.908556362,1
459,0.883664285,1
460,0.886768582,1
461,0.887580859,1
462,0.887557643,1
463,0.895315809,1
464,0.918010407,1
465,0.913630022,1
466,0.910308261,1
467,0.936424864,1
468,0.928023301,1
469,0.929202681,1
470,0.913131144,1
471,0.938194809,1
472,0.935407726,1
473,0.942205014,1
474,0.93548035,1
475,0.952031314,1
476,0.943861596,1
477,0.942424138,1
478,0.930238619,1
479,0.886977396,1
480,0.891418269,1
481,0.904353353,1
482,0.914129116,1
